Attributes,code,high,low,open,close,adjust,volume_match,value_match
Symbols,FLC,FLC,FLC,FLC,FLC,FLC,FLC,FLC
date,,,,,,,,
2023-09-28,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-27,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-26,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-25,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-22,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-21,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-20,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-19,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-18,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-15,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-14,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-13,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-12,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-11,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-07,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-06,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-09-05,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-31,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-30,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-29,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-28,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-25,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-24,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-23,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-22,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-21,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-18,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-17,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-16,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-15,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-14,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-11,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-10,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-09,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-08,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-07,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-04,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-08-03,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-31,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-28,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-27,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-26,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
