,high,low,open,close,adjust,volume_match,value_match
47,0.37308,0.361913,0.37702,31.9,0.103916,0.160656,0.138268
48,0.360434,0.338448,0.35009,31.85,0.103614,0.095129,0.080491
49,0.352304,0.348375,0.355476,31.9,0.103916,0.062695,0.052744
50,0.364047,0.355596,0.35009,32.3,0.107831,0.044809,0.038699
51,0.361337,0.363718,0.364452,32.0,0.10512,0.015481,0.013494
52,0.35682,0.361913,0.360862,31.95,0.104518,0.030259,0.026006
53,0.346883,0.348375,0.342908,31.4,0.099096,0.025622,0.021406
54,0.34869,0.351986,0.351885,31.6,0.101205,0.023384,0.019629
55,0.35953,0.358303,0.357271,32.35,0.108434,0.013465,0.01177
56,0.361337,0.366426,0.361759,32.45,0.109337,0.013197,0.011665
57,0.365854,0.362816,0.368941,32.2,0.106928,0.054044,0.046516
58,0.35682,0.362816,0.359964,31.95,0.104518,0.024952,0.021448
59,0.357724,0.363718,0.362657,32.1,0.106024,0.005921,0.005266
60,0.355917,0.362816,0.359066,32.1,0.106024,0.026023,0.022409
61,0.360434,0.364621,0.361759,32.4,0.108735,0.015758,0.013736
62,0.36495,0.369134,0.366248,32.5,0.109639,0.006326,0.005788
63,0.36495,0.370036,0.368043,32.4,0.108735,0.001696,0.001756
64,0.36224,0.364621,0.367145,32.1,0.106024,0.016965,0.014769
65,0.35411,0.358303,0.359066,31.95,0.104518,0.010091,0.008705
66,0.35411,0.361913,0.359066,31.95,0.104518,0.003078,0.002758
67,0.35411,0.361913,0.358169,32.05,0.105422,0.003687,0.003283
68,0.353207,0.356498,0.357271,31.75,0.102711,0.003378,0.002937
69,0.350497,0.355596,0.354578,31.6,0.101205,0.006566,0.00563
70,0.345077,0.351986,0.348294,31.3,0.098193,0.011935,0.009965
71,0.347787,0.352888,0.347397,31.6,0.101205,0.0,0.0
72,0.355014,0.352888,0.347397,31.85,0.103614,0.006196,0.005368
73,0.353207,0.361913,0.359066,31.9,0.103916,0.004795,0.00422
74,0.377597,0.362816,0.359066,33.35,0.118072,0.046599,0.04143
75,0.383017,0.382671,0.385996,33.1,0.115663,0.029263,0.026634
76,0.385727,0.384477,0.38061,33.6,0.120482,0.016322,0.015312
77,0.389341,0.388087,0.389587,34.0,0.124096,0.026347,0.024351
78,0.396567,0.395307,0.394973,34.15,0.125602,0.023181,0.022006
79,0.385727,0.386282,0.384201,33.45,0.118976,0.03338,0.030408
80,0.385727,0.389892,0.391382,33.5,0.119277,0.016315,0.015365
81,0.376694,0.382671,0.381508,33.15,0.115964,0.016239,0.014907
82,0.37579,0.375451,0.377917,32.9,0.113554,0.009127,0.008457
83,0.374887,0.375451,0.378815,32.85,0.113253,0.007063,0.006629
84,0.37037,0.364621,0.376122,32.05,0.105422,0.026376,0.022987
85,0.360434,0.359206,0.35368,32.4,0.108735,0.006164,0.005462
86,0.365854,0.370036,0.366248,32.4,0.108735,0.013441,0.011946
87,0.365854,0.370036,0.367145,32.3,0.107831,0.001673,0.001768
88,0.360434,0.368231,0.364452,32.25,0.10753,0.00282,0.002675
89,0.372177,0.369134,0.363555,32.8,0.112651,0.010183,0.009342
90,0.374887,0.379061,0.376122,32.9,0.113554,0.009484,0.008821
91,0.3785,0.380866,0.37702,33.0,0.114458,0.01321,0.012246
92,0.372177,0.376354,0.37702,32.75,0.112048,0.013402,0.012175
93,0.36495,0.367329,0.368043,32.15,0.106325,0.024926,0.021803
94,0.35953,0.366426,0.360862,32.2,0.106928,0.00493,0.004449
95,0.36224,0.365523,0.368043,32.05,0.105422,0.016508,0.014371
96,0.36224,0.365523,0.364452,32.5,0.109639,0.004534,0.004136
97,0.36224,0.363718,0.368043,32.0,0.10512,0.030274,0.026233
98,0.35682,0.364621,0.359066,32.1,0.106024,0.022148,0.019142
