,high,low,open,close,adjust,volume_match,value_match
284,0.505547,0.503205,0.515773,85.0,0.329686,0.166578,0.139955
285,0.48336,0.485577,0.484227,84.0,0.31922,0.177168,0.146456
286,0.464342,0.440705,0.422713,82.4,0.302807,0.255779,0.205649
287,0.445325,0.459936,0.444795,81.8,0.296622,0.086019,0.069623
288,0.465927,0.474359,0.476341,82.2,0.300666,0.115253,0.094118
289,0.442155,0.455128,0.452681,81.7,0.295433,0.071759,0.057937
290,0.467512,0.474359,0.455836,83.1,0.309943,0.112879,0.092693
291,0.500792,0.471154,0.468454,84.5,0.324453,0.121202,0.101006
292,0.424723,0.416667,0.405363,78.6,0.263321,0.174155,0.135194
293,0.408875,0.365385,0.38959,79.9,0.276879,0.210636,0.158611
294,0.416799,0.349359,0.427445,77.0,0.246908,0.271451,0.202791
295,0.299525,0.30609,0.294953,71.7,0.19196,0.23496,0.163605
296,0.299525,0.225962,0.211356,71.0,0.184824,0.280184,0.184222
297,0.267829,0.222756,0.27918,67.1,0.144386,0.143671,0.09469
298,0.212361,0.176282,0.223975,67.5,0.148668,0.199444,0.125139
299,0.263074,0.246795,0.231861,69.3,0.167222,0.156268,0.103749
300,0.231379,0.214744,0.22082,66.0,0.132969,0.171163,0.109322
301,0.193344,0.142628,0.200315,61.5,0.086584,0.427526,0.259541
302,0.069731,0.073718,0.067823,57.2,0.042103,0.282682,0.153569
303,0.068146,0.064103,0.061514,58.0,0.050428,0.221209,0.120322
304,0.125198,0.113782,0.105678,62.0,0.091817,0.276268,0.161861
305,0.167987,0.142628,0.137224,63.2,0.104186,0.219011,0.132692
306,0.187005,0.158654,0.157729,64.1,0.113463,0.232876,0.143241
307,0.115689,0.115385,0.107256,61.0,0.081351,0.243917,0.140595
308,0.158479,0.11859,0.129338,62.0,0.091817,0.133064,0.077451
309,0.187005,0.142628,0.129338,65.0,0.12274,0.177387,0.108669
310,0.193344,0.182692,0.184543,65.5,0.127973,0.258488,0.161743
311,0.22504,0.214744,0.223975,68.0,0.153663,0.321185,0.208954
312,0.236133,0.227564,0.231861,68.2,0.155804,0.266132,0.173948
313,0.223455,0.227564,0.216088,67.5,0.148668,0.266916,0.174093
314,0.283677,0.246795,0.231861,71.0,0.184824,0.269654,0.183012
315,0.282092,0.272436,0.27918,70.6,0.18078,0.237729,0.163409
